method,auroc,fpr95,tpr05
loss,57.5%,93.6%,9.0%
zlib,59.1%,90.7%,9.0%
mink_0.1,55.1%,97.4%,8.8%
mink_0.2,55.5%,95.9%,10.1%
mink_0.3,55.8%,93.6%,11.1%
mink_0.4,56.8%,93.8%,11.1%
mink_0.5,57.3%,93.8%,10.1%
mink_0.6,57.6%,91.5%,9.8%
mink_0.7,57.5%,93.1%,9.3%
mink_0.8,57.3%,93.1%,7.5%
mink_0.9,57.2%,93.3%,8.3%
mink_1.0,57.5%,93.1%,9.0%
mink++_0.1,55.8%,93.6%,7.0%
mink++_0.2,55.9%,93.6%,5.2%
mink++_0.3,55.9%,93.1%,4.9%
mink++_0.4,56.0%,93.8%,5.2%
mink++_0.5,55.8%,94.6%,4.9%
mink++_0.6,55.6%,93.1%,4.4%
mink++_0.7,55.4%,93.6%,4.4%
mink++_0.8,55.1%,92.8%,4.1%
mink++_0.9,54.7%,92.3%,4.7%
mink++_1.0,54.5%,92.5%,4.9%
loss,57.4%,93.3%,9.0%
zlib,59.0%,91.0%,9.6%
mink_0.1,55.0%,95.6%,7.5%
mink_0.2,55.2%,95.9%,9.8%
mink_0.3,55.5%,93.8%,10.3%
mink_0.4,56.6%,92.8%,9.8%
mink_0.5,57.2%,92.5%,9.8%
mink_0.6,57.5%,92.0%,10.1%
mink_0.7,57.4%,92.8%,8.8%
mink_0.8,57.3%,92.0%,7.8%
mink_0.9,57.1%,93.1%,7.2%
mink_1.0,57.4%,93.3%,9.0%
mink++_0.1,55.3%,93.6%,3.6%
mink++_0.2,55.5%,93.1%,4.1%
mink++_0.3,55.3%,93.1%,4.7%
mink++_0.4,55.4%,92.5%,5.4%
mink++_0.5,55.1%,93.6%,5.2%
mink++_0.6,55.0%,93.6%,4.7%
mink++_0.7,54.8%,93.3%,4.9%
mink++_0.8,54.7%,93.1%,4.7%
mink++_0.9,54.1%,92.3%,3.9%
mink++_1.0,53.9%,91.5%,3.9%
